PuzzleId,Rating,Themes,OpeningFamily,Solved
00PGi,986,crushing fork middlegame short,nan,False
00PrK,1085,crushing endgame short skewer,nan,True
00QCD,1063,advantage middlegame short,nan,True
00QCe,1196,crushing endgame fork short,nan,False
00QHM,1017,endgame long mate mateIn3,nan,True
00QOa,787,crushing endgame fork short,nan,False
00QY3,1055,endgame master mate mateIn1 oneMove,nan,True
00QZV,600,backRankMate hangingPiece mate mateIn1 middlegame oneMove,Italian_Game,True
00RYH,1031,backRankMate endgame mate mateIn2 short,nan,False
00Rcs,852,crushing endgame fork short,nan,True
00Rlv,625,advantage middlegame short,Duras_Gambit,True
00TU2,715,backRankMate endgame mate mateIn2 sacrifice short,nan,True
00Ta0,958,crushing endgame fork short,nan,True
00Tdk,954,crushing middlegame pin short,nan,True
00Tge,1097,crushing endgame short,nan,False
00TiV,1186,crushing endgame short skewer,nan,True
00UHZ,1159,advantage discoveredAttack endgame short,nan,True
00UgJ,895,advantage fork middlegame short,nan,False
00Ui0,668,crushing endgame fork short,nan,False
00VFK,1091,crushing endgame master queenEndgame short,nan,False
00Vt0,801,advantage endgame fork short,nan,False
00WNb,1028,advancedPawn bishopEndgame crushing endgame master short,nan,False
00WT8,1113,advantage fork middlegame short,nan,True
00WcO,1021,crushing middlegame short,Italian_Game,False
00WnZ,1141,advantage middlegame pin short,Nimzo-Larsen_Attack,False
00Y5Q,785,crushing fork opening short,Richter-Veresov_Attack,True
00YCP,969,advantage middlegame short,Englund_Gambit,False
00YhS,930,crushing endgame long pawnEndgame,nan,False
00ZPK,806,advancedPawn advantage endgame long master rookEndgame sacrifice,nan,False
00aBq,919,backRankMate mate mateIn2 middlegame sacrifice short,Queens_Pawn_Game,False
00bWA,1026,crushing middlegame short,nan,True
00baZ,718,crushing endgame fork short,nan,False
00bns,987,crushing fork master middlegame pin short,nan,True
00byq,1163,advantage fork middlegame pin veryLong,nan,True
00cW9,889,advantage capturingDefender discoveredAttack middlegame short,Slav_Defense,True
00cud,889,crushing endgame fork master short,nan,False
00dTO,858,crushing endgame fork short,nan,True
00eB8,935,advantage endgame fork short,nan,True
00eGd,1180,crushing endgame rookEndgame short,nan,False
00eLW,1037,crushing endgame queenEndgame short,nan,True
00f99,1094,advantage endgame long,nan,True
00f9k,855,crushing endgame fork short,nan,False
00gSv,1106,advantage discoveredAttack middlegame short,Queens_Pawn_Game,True
00iyx,943,advantage middlegame short,Scandinavian_Defense,True
00jPH,1139,advantage fork middlegame short,nan,True
00jXD,954,crushing discoveredAttack endgame short,nan,True
00k6k,1046,advantage fork opening short,English_Opening,True
00kF8,1011,advantage discoveredAttack endgame fork short,nan,False
00kRi,733,crushing middlegame short,nan,False
00l1z,1153,advancedPawn advantage endgame master short,nan,False
00mLw,1193,advantage fork middlegame short,nan,True
00mvr,1057,crushing discoveredAttack endgame master short,nan,False
00nFD,1187,advantage master middlegame short,Sicilian_Defense,False
00nQp,841,crushing middlegame short,Kings_Gambit_Accepted,True
00nji,1053,advantage endgame short,nan,False
00o9U,1118,crushing master middlegame pin short,French_Defense,False
00oSB,1187,crushing endgame short,nan,True
00ogc,864,crushing endgame short,nan,False
00ouR,908,advantage endgame fork short,nan,True
00puq,1068,crushing fork long middlegame,nan,True
00qqD,1079,crushing fork middlegame short,Giuoco_Piano,True
00rCD,900,crushing endgame fork short,nan,True
00rYo,1188,crushing endgame fork master short,nan,False
00rva,1040,crushing opening short,nan,False
00rzv,1052,advantage attraction middlegame short,nan,True
00s9L,1146,advantage middlegame short,nan,False
00sO1,995,advantage discoveredAttack master middlegame short,nan,True
00sXv,1110,crushing endgame rookEndgame short skewer,nan,False
00tdc,977,crushing opening pin short,nan,False
00tsE,1193,crushing endgame fork short,nan,True
00uCX,888,advantage middlegame short,nan,False
00w6f,1086,advantage opening short,Sicilian_Defense,True
00wYl,1158,crushing discoveredAttack middlegame short,nan,False
00xmm,1031,advantage long middlegame pin,nan,False
00xsd,1190,advantage fork opening short,nan,True
00yPS,1092,crushing discoveredAttack endgame long queenEndgame,nan,False
00z3O,1192,advantage kingsideAttack middlegame short,nan,True
010hY,1036,crushing middlegame short,nan,False
01194,807,crushing fork middlegame short,nan,True
011ki,1081,crushing endgame short,nan,False
012AZ,947,crushing fork middlegame short,English_Opening,True
012ee,1132,advantage endgame kingsideAttack long skewer,nan,False
0139J,757,advantage hangingPiece middlegame short,nan,True
013JE,1083,crushing middlegame short,Russian_Game,False
013hi,1177,crushing discoveredAttack endgame fork long,nan,False
014KA,896,advantage fork middlegame short,Kings_Knight_Opening,True
014OS,1052,bishopEndgame crushing endgame short,nan,True
0162G,917,crushing endgame pin short,nan,True
016nI,1004,advantage capturingDefender middlegame short,Sicilian_Defense,False
017c1,1093,crushing discoveredAttack endgame rookEndgame short,nan,True
017qa,1007,crushing kingsideAttack middlegame short,nan,True
0181c,942,advantage fork middlegame short,Caro-Kann_Defense,False
019YE,907,advantage endgame fork short,nan,True
01A3W,1092,attraction crushing endgame exposedKing long rookEndgame skewer,nan,False
01Bmi,1150,advantage middlegame short trappedPiece,Elephant_Gambit,False
01Cds,869,advancedPawn crushing endgame promotion short,nan,False
01DHd,1169,crushing kingsideAttack opening short,Queens_Pawn_Game,True
01ESO,927,advantage middlegame short,nan,True
01G6T,1021,crushing kingsideAttack middlegame short,nan,True
01GKn,1089,crushing kingsideAttack middlegame short,nan,False
01I1O,1078,crushing endgame master masterVsMaster short,nan,True
01J3E,1005,crushing middlegame short,nan,False
01J3m,1114,crushing master middlegame short,nan,False
01KQc,858,advantage middlegame short,Kings_Pawn_Game,True
01LXq,1136,crushing long middlegame,Nimzo-Indian_Defense,False
01Lo7,1186,crushing middlegame short trappedPiece,nan,False
01M18,928,advantage middlegame pin short,Slav_Defense,False
01MQ3,970,advantage endgame short,nan,False
01Nbh,1076,advancedPawn crushing endgame promotion short,nan,False
01Nco,921,crushing endgame short skewer,nan,True
01PI9,1169,advantage endgame short,nan,False
01PjH,1090,crushing endgame short,nan,False
01Pjd,968,crushing endgame short,nan,False
01S2P,1079,backRankMate fork long mate mateIn3 middlegame sacrifice,Vienna_Game,True
01T0h,964,advantage middlegame short,nan,True
01TeF,1176,crushing endgame hangingPiece knightEndgame short,nan,False
01TwJ,1157,advantage middlegame pin short,English_Opening,False
01U8B,1032,crushing middlegame short,nan,False
01VZi,1187,crushing discoveredAttack endgame short,nan,False
01XCL,1039,advancedPawn advantage endgame promotion short,nan,False
01XyB,1130,backRankMate endgame long mate mateIn3 sacrifice,nan,False
01YXn,833,crushing hangingPiece middlegame short,Sicilian_Defense,True
01bhr,1106,advantage deflection middlegame short,nan,True
01do1,1174,advancedPawn attraction crushing endgame promotion short,nan,False
01ebl,1066,crushing middlegame short,Zukertort_Opening,False
01f3b,1151,advancedPawn advantage endgame promotion short,nan,False
01gQ1,923,advantage middlegame pin short,Owen_Defense,True
01ghr,1035,crushing defensiveMove endgame short zugzwang,nan,True
01hcF,977,advantage middlegame short,nan,True
01iU9,1193,crushing long middlegame,nan,True
01iaw,892,crushing endgame short skewer,nan,False
01j49,931,advantage discoveredAttack endgame short,nan,False
01kY6,1051,crushing endgame master rookEndgame short,nan,False
01lh4,1143,advantage capturingDefender middlegame short,Queens_Pawn_Game,False
01m5k,1173,attraction endgame mate mateIn2 sacrifice short,nan,True
01m8C,968,advantage long middlegame,nan,False
01mGq,883,crushing defensiveMove endgame pawnEndgame short,nan,False
01oGn,1143,advancedPawn crushing middlegame promotion short,Queens_Gambit_Declined,False
01s5n,1108,advantage discoveredAttack endgame pin sacrifice short,nan,False
01tUB,807,crushing endgame pawnEndgame short zugzwang,nan,True
01uDg,983,crushing endgame hangingPiece master short,nan,False
01ujj,609,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,nan,False
01v6D,1186,advantage middlegame short,nan,False
01vCu,1071,backRankMate long mate mateIn3 middlegame sacrifice,Vienna_Game,False
01vYY,1088,advantage middlegame short,nan,True
01vlR,873,crushing discoveredAttack middlegame short,Sicilian_Defense,True
01wS5,1042,endgame mate mateIn2 sacrifice short,nan,True
01x2C,1135,advancedPawn crushing endgame rookEndgame short,nan,False
01xBJ,990,crushing endgame rookEndgame short,nan,True
01xk5,1172,advantage middlegame short trappedPiece,Caro-Kann_Defense,False
01y4w,1084,crushing discoveredAttack kingsideAttack middlegame short,Van_Geet_Opening,False
01yHG,849,advantage middlegame short,nan,True
0202T,693,crushing endgame long,nan,True
020Bj,1097,advantage endgame pin short,nan,False
020XG,1048,endgame mate mateIn2 sacrifice short,nan,False
020s4,1198,crushing endgame short,nan,False
020tK,1154,crushing endgame knightEndgame long,nan,True
021Lo,1044,crushing hangingPiece middlegame short,Sicilian_Defense,True
023un,1068,advantage endgame short,nan,True
024qM,1097,crushing discoveredAttack middlegame short,nan,False
02684,845,crushing endgame short,nan,False
02999,1031,advantage middlegame short,nan,True
029I2,984,advantage middlegame short,Queens_Gambit_Declined,False
029gU,955,crushing discoveredAttack middlegame short,nan,True
029o2,1044,advantage middlegame short,nan,True
02ApL,1119,crushing endgame short,nan,True
02Bz7,1026,advancedPawn crushing long middlegame,nan,False
02C3w,1121,advantage opening short,nan,False
02CIe,827,bishopEndgame crushing endgame short,nan,True
02CX1,1144,crushing endgame long skewer,nan,True
02EdZ,1122,kingsideAttack long mate mateIn3 middlegame sacrifice,nan,False
02EhR,1191,discoveredAttack kingsideAttack master mate mateIn2 middlegame short,nan,False
02F4S,1132,crushing endgame interference long skewer,nan,False
02Fi0,1052,advantage discoveredAttack middlegame short,Italian_Game,True
02JtO,1079,crushing discoveredAttack endgame short,nan,False
02KzX,951,advantage middlegame short,Anderssens_Opening,True
02L3h,875,crushing middlegame short,nan,False
02LMw,702,advancedPawn advantage endgame master promotion rookEndgame short,nan,False
02MZb,1195,advantage long opening,nan,False
02MwE,1165,crushing kingsideAttack middlegame pin short,nan,False
02Nzh,977,crushing discoveredAttack middlegame short,Italian_Game,True
02Oc8,1162,discoveredAttack endgame mate mateIn2 short,nan,True
02OoP,1090,crushing endgame pin short,nan,True
02OzP,1071,crushing discoveredAttack endgame short,nan,True
02P6P,792,crushing endgame pawnEndgame short zugzwang,nan,True
02RNl,1175,advantage middlegame short,Sicilian_Defense,True
02T4U,1088,crushing middlegame short,nan,False
02THe,842,advancedPawn discoveredAttack endgame master mate mateIn1 oneMove,nan,True
02V2D,1160,crushing endgame short,nan,False
02WQZ,1152,advancedPawn crushing kingsideAttack middlegame promotion short,nan,False
02Y0v,626,crushing endgame short,nan,True
02ZJA,1049,advantage middlegame pin short,Queens_Pawn_Game,True
02cwR,1106,crushing endgame short,nan,True
02eE7,1038,advantage discoveredAttack middlegame short,nan,False
02gXq,1025,backRankMate endgame long mate mateIn3 sacrifice,nan,False
02kaz,1166,crushing deflection middlegame short,nan,False
02kdk,932,advantage middlegame short,Sicilian_Defense,False
02l3n,990,advantage endgame short,nan,True
02lbA,978,advantage discoveredAttack middlegame short,Sicilian_Defense,False
02pop,885,advantage discoveredAttack endgame short,nan,False
02r27,1002,crushing master middlegame veryLong,nan,True
02ra2,1031,crushing discoveredAttack middlegame short,nan,False
02rcU,1172,advantage intermezzo middlegame short,Four_Knights_Game,False
02sUm,1098,crushing discoveredAttack endgame short,nan,True
02tEk,1170,backRankMate endgame long mate mateIn3 sacrifice,nan,False
02tV1,886,backRankMate long mate mateIn3 middlegame sacrifice,nan,False
02tux,1184,crushing middlegame pin short,Sicilian_Defense,False
02utb,1029,advantage endgame short trappedPiece,nan,True
02wKw,893,advancedPawn advantage clearance endgame promotion queenRookEndgame short,nan,True
02x4y,1077,endgame kingsideAttack long mate mateIn3 sacrifice,nan,False
02xLE,984,crushing middlegame short,nan,True
02xwm,747,advantage endgame hangingPiece short,nan,True
02y4j,769,advantage long master masterVsMaster middlegame,nan,False
02y6e,687,crushing middlegame short,nan,True
02yFZ,1076,advantage middlegame short,English_Opening,False
02yao,1196,crushing middlegame short,nan,False
02yoc,953,advantage discoveredAttack endgame fork short,nan,False
02z11,714,crushing discoveredAttack kingsideAttack opening short,Italian_Game,False
02zOY,1059,backRankMate long mate mateIn3 middlegame sacrifice,nan,False
02zVb,957,advantage discoveredAttack middlegame short,nan,False
031Kv,1111,advantage opening short,Kings_Pawn_Game,False
0351q,890,crushing discoveredAttack endgame master short,nan,False
035s2,1146,crushing middlegame short,nan,True
036Pe,1163,crushing middlegame short,nan,False
0376x,1001,crushing middlegame short,nan,True
037Zo,784,crushing discoveredAttack kingsideAttack long middlegame,nan,True
037fN,1053,advantage kingsideAttack long middlegame,nan,False
039sR,1152,advancedPawn crushing discoveredAttack endgame long master sacrifice,nan,True
03BNm,1022,advantage kingsideAttack middlegame pin short,nan,False
03CkS,647,advantage kingsideAttack middlegame short,nan,True
03DB8,1160,advancedPawn crushing endgame long promotion,nan,True
03DmV,1131,advantage endgame short skewer,nan,False
03Ejm,726,advancedPawn advantage endgame knightEndgame short,nan,False
03Exk,1025,advancedPawn advantage endgame master masterVsMaster promotion short,nan,True
03Fdm,1047,crushing intermezzo middlegame short,Queens_Gambit_Declined,False
03Fib,954,advantage kingsideAttack middlegame short,nan,True
03GKT,1193,advantage middlegame short,French_Defense,True
03GuD,1117,advantage hangingPiece middlegame short,nan,False
03H2V,819,advantage deflection endgame interference short,nan,False
03JOC,1041,crushing discoveredAttack middlegame short,nan,False
03M6Y,994,endgame kingsideAttack mate mateIn2 sacrifice short,nan,False
03NKN,697,advantage middlegame short,Ruy_Lopez,True
03Nhj,1083,advantage endgame hangingPiece short,nan,True
03Nmh,946,advantage endgame short skewer,nan,True
03PXc,964,advancedPawn crushing endgame long promotion,nan,True
03Q03,1064,crushing discoveredAttack endgame short,nan,False
03Q1l,914,crushing discoveredAttack kingsideAttack middlegame short,nan,False
03QN9,1104,advancedPawn advantage discoveredAttack endgame fork short,nan,False
03Qdr,1179,attraction crushing endgame exposedKing fork long sacrifice,Scandinavian_Defense,False
03R4H,1035,backRankMate endgame mate mateIn2 sacrifice short,nan,True
03RFD,1070,backRankMate endgame long mate mateIn3 sacrifice,nan,False
03Rgy,1135,advantage endgame short,nan,True
03RkI,1129,crushing deflection middlegame short,Zukertort_Opening,True
03UTN,1055,advantage discoveredAttack master middlegame short,nan,False
03VQT,1196,advantage deflection endgame short,nan,False
03WiF,1126,advantage capturingDefender endgame intermezzo short,nan,False
03XJO,1180,advantage middlegame short,nan,False
03YKj,1033,crushing discoveredAttack kingsideAttack middlegame short,Sicilian_Defense,False
03Z5v,1138,advantage hangingPiece opening short,nan,False
03a1M,971,backRankMate long mate mateIn3 middlegame sacrifice,nan,False
03aA1,779,crushing discoveredAttack master opening short,nan,True
03baH,1093,advantage endgame long pin,nan,False
03br2,856,advantage endgame master short,nan,True
03bzH,1042,crushing middlegame short,Queens_Pawn_Game,False
03c5v,1157,crushing exposedKing kingsideAttack long middlegame,nan,False
03cz4,1152,crushing middlegame short,Caro-Kann_Defense,False
03d5A,1123,crushing deflection kingsideAttack middlegame short,nan,False
03dMX,959,advantage middlegame short,nan,True
03fls,1182,advantage endgame short,nan,False
03gzJ,1061,crushing kingsideAttack middlegame short,nan,False
03ig2,1004,crushing endgame long,nan,False
03jf1,1162,crushing long middlegame,nan,False
03m7x,1067,advancedPawn advantage endgame promotion rookEndgame short,nan,False
03mXu,1128,backRankMate endgame long mate mateIn3 sacrifice,nan,False
03mkp,980,backRankMate mate mateIn2 middlegame sacrifice short,nan,False
03oXE,1162,advancedPawn advantage endgame promotion short,nan,False
03oqC,970,discoveredAttack kingsideAttack long mate mateIn3 middlegame sacrifice,Caro-Kann_Defense,False
03qVb,1167,advantage middlegame short,nan,False
03rQC,770,crushing opening short,Kings_Knight_Opening,False
03sFl,984,advantage discoveredAttack middlegame short,Sicilian_Defense,False
03vnS,993,advantage discoveredAttack exposedKing long middlegame pin,nan,False
03w2W,927,advantage middlegame short,English_Defense,True
03wIq,1104,crushing endgame long pawnEndgame,nan,False
03xmY,1103,backRankMate endgame long mate mateIn3 sacrifice,nan,False
03xmf,987,advancedPawn clearance crushing endgame long,nan,True
03yhG,1043,crushing middlegame short,English_Opening,True
03yrR,1200,advantage middlegame short,Kings_Gambit_Declined,True
0403H,828,crushing discoveredAttack kingsideAttack middlegame short,Queens_Pawn_Game,False
040cM,1165,crushing middlegame short,Italian_Game,True
042AL,1110,crushing discoveredAttack hangingPiece middlegame short,nan,True
043Nu,995,crushing hangingPiece middlegame short,nan,True
043c7,1186,advancedPawn crushing endgame long pawnEndgame promotion,nan,False
045kt,1136,crushing middlegame short,French_Defense,True
045qD,1061,backRankMate endgame long mate mateIn3 sacrifice,nan,False
046wz,1070,crushing endgame long pawnEndgame quietMove zugzwang,nan,False
047hJ,663,backRankMate mate mateIn2 middlegame sacrifice short,nan,False
049b2,951,advantage long middlegame,Sicilian_Defense,False
04Drp,865,advantage middlegame short,nan,False
04H0e,1114,advantage intermezzo kingsideAttack middlegame short,nan,True
04HsY,1052,crushing middlegame pin short,nan,True
04MEU,1197,mate mateIn2 middlegame sacrifice short,nan,False
04Muh,1192,advantage long middlegame pin,Queens_Pawn_Game,False
04OUJ,1162,advantage endgame short,nan,False
04VyV,1100,advancedPawn crushing endgame long promotion,nan,False
04Wbo,1128,crushing hangingPiece middlegame short skewer,Englund_Gambit_Complex_Declined,True
04YaR,1161,crushing hangingPiece middlegame short trappedPiece,nan,True
04ZrX,1126,advantage endgame short,nan,False
04aTi,1044,mate mateIn2 middlegame sacrifice short,nan,False
04e2n,1177,crushing middlegame short skewer,nan,True
04e55,1140,clearance kingsideAttack mate mateIn2 middlegame sacrifice short,Queens_Gambit_Accepted,False
04eM6,822,endgame kingsideAttack mate mateIn2 sacrifice short,nan,False
04ejR,644,crushing middlegame short,nan,False
04gw2,1059,advantage discoveredAttack endgame long sacrifice,nan,False
04jax,1199,crushing deflection endgame long rookEndgame,nan,False
04t4Q,1011,crushing long middlegame,nan,False
054QS,817,crushing long middlegame,nan,True
055Rv,1106,endgame mate mateIn2 sacrifice short,nan,True
0585O,621,backRankMate endgame master masterVsMaster mate mateIn2 sacrifice short,nan,False
05Az7,944,advantage endgame short,nan,False
05C8l,1066,crushing endgame long,nan,False
05Htz,1182,advantage endgame hangingPiece short,nan,False
05I6i,1069,advantage endgame long,nan,False
05SPu,927,advantage opening short,nan,True
05UTP,1192,advantage endgame short,nan,False
05VCy,1157,long mate mateIn3 middlegame sacrifice,nan,False
05Yg5,1189,crushing long middlegame,nan,False
05bPj,1127,clearance kingsideAttack mate mateIn2 middlegame sacrifice short,nan,True
05hpp,1107,advantage deflection endgame master short,nan,False
05lNL,1095,advancedPawn advantage endgame long promotion rookEndgame,nan,False
05ngS,1137,crushing opening short,nan,False
05odN,1062,advancedPawn crushing endgame long pawnEndgame,nan,False
05psn,801,advancedPawn crushing endgame quietMove rookEndgame veryLong,nan,False
05s6f,600,backRankMate endgame mate mateIn2 sacrifice short,nan,False
05u9M,959,advantage opening short,nan,False
05vPL,1175,advantage endgame pin short,nan,True
05vzB,1115,advantage opening short,Sicilian_Defense,True
05xH6,955,advantage endgame master short,nan,False
062D9,1081,advantage endgame short,nan,False
06DGd,1158,crushing endgame pawnEndgame veryLong,nan,False
06DMB,1098,advantage endgame pin short,nan,False
06Eew,1080,advantage endgame short trappedPiece,nan,False
06FY2,1006,mate mateIn2 middlegame sacrifice short,nan,True
06IK9,964,crushing endgame long rookEndgame,nan,False
06L5W,1095,advantage opening short,nan,True
06Ljc,1147,advantage endgame short,nan,False
06MHw,1070,crushing endgame pawnEndgame veryLong,nan,False
06Nmx,1035,backRankMate endgame long mate mateIn3 sacrifice,nan,False
06OHy,1110,advantage deflection long middlegame,nan,False
06Qtv,1082,crushing intermezzo opening short,nan,False
06Rpz,600,backRankMate mate mateIn2 middlegame sacrifice short,nan,False
06Twq,1037,crushing endgame long skewer,nan,False
06UO9,1079,advancedPawn advantage endgame master promotion rookEndgame short,nan,False
06Uu3,1073,advantage endgame long pin,nan,False
06XWX,1165,crushing endgame long,nan,False
06Xb1,701,advantage endgame long master,nan,True
06cRU,1000,advantage defensiveMove endgame short,nan,False
06cqX,1143,advantage opening short trappedPiece,Nimzo-Indian_Defense,False
06jVQ,1175,endgame mate mateIn2 sacrifice short,nan,False
06umr,1072,crushing hangingPiece opening short,Queens_Gambit_Declined,True
06x7s,1091,advantage deflection endgame short,nan,False
06yZy,1093,advantage endgame kingsideAttack long,nan,False
06zho,879,endgame mate mateIn2 sacrifice short,nan,False
07046,800,advantage endgame pin short,nan,False
0755v,685,advantage long middlegame,nan,False
07AwJ,1135,advantage endgame pin short,nan,False
07Dtq,962,backRankMate endgame long mate mateIn3 sacrifice,nan,False
07ELv,963,endgame mate mateIn2 sacrifice short,nan,False
07H0N,1151,backRankMate endgame long mate mateIn3 sacrifice,nan,False
07I7d,1180,crushing hangingPiece long opening,nan,False
07SGL,1109,advantage kingsideAttack opening short,Kings_Indian_Attack,True
07Vmc,783,advancedPawn crushing endgame long pawnEndgame promotion,nan,False
07XZ1,910,advantage endgame long,nan,True
07YH3,1087,backRankMate endgame long mate mateIn3 sacrifice,nan,False
07ZWX,1071,backRankMate endgame long mate mateIn3 sacrifice,nan,False
07a30,1050,backRankMate long mate mateIn3 middlegame sacrifice,nan,True
07duz,996,crushing long middlegame,nan,False
07eAs,972,backRankMate mate mateIn2 middlegame sacrifice short,nan,False
07et0,1119,advantage endgame hangingPiece short,nan,False
07jvW,981,advantage deflection endgame short,nan,True
07kZw,724,advantage endgame short,nan,True
07lMV,1060,advancedPawn advantage endgame promotion rookEndgame short,nan,True
07oZk,918,advancedPawn crushing endgame knightEndgame long promotion,nan,False
07qAm,940,crushing endgame long pawnEndgame,nan,True
07sc8,1199,advantage opening short,Lion_Defense,False
083C6,1165,advantage master opening short,nan,False
085VR,1102,advantage long middlegame,nan,False
086MC,1194,advancedPawn crushing endgame long master promotion rookEndgame,nan,False
089jo,949,advancedPawn crushing defensiveMove endgame knightEndgame long,nan,False
08RMU,1031,advancedPawn crushing endgame hangingPiece promotion veryLong,nan,False
08ZWX,1196,advantage opening short trappedPiece,English_Opening,False
